,Policy type,Event details,Event frequency,Event relevance,Previous attendance,Is presenting,ENBEmissions,LPEmissions,ENBValueOfTravel,LPEValueOfTravel,Optimal
595,Carbon tax/distance,Conference,Medium,Low,Low,Yes,-1.5792,0.0,0.43857,0.0,No
596,Carbon tax/distance,Conference,High,High,High,Yes,-1.5792,0.0,0.43857,0.0,No
597,Cap distance,Conference,Low,High,High,Yes,0.19886,0.0,0.43857,0.0,No
598,As-is,Conference,High,High,Low,Yes,1.19707,0.0,0.43857,0.0,No
599,As-is,Workshop,High,Medium,High,Yes,1.19707,0.0,0.43857,0.0,No
600,Carbon tax/flight,Conference,High,High,High,Yes,0.18327,0.0,0.43857,0.0,No
601,Carbon tax/flight,Meetings,Low,Medium,High,No,0.18327,0.0,0.43857,0.0,No
602,As-is,Workshop,Medium,High,High,Yes,1.19707,0.0,0.43857,0.0,No
603,Carbon tax/distance,Meetings,Low,Low,High,No,-1.5792,0.0,-2.09888,0.0,No
604,Carbon tax/distance,Conference,High,High,Medium,No,-1.5792,0.0,0.43857,0.0,No
605,As-is,Workshop,Low,Low,Medium,Yes,1.19707,0.0,0.43857,0.0,No
606,Carbon tax/distance,Meetings,Low,Medium,High,No,-1.5792,0.0,0.43857,0.0,No
607,Carbon tax/distance,Meetings,High,Medium,Low,Yes,-1.5792,0.0,0.43857,0.0,No
608,Carbon tax/flight,Workshop,Low,High,High,No,0.18327,0.0,0.43857,0.0,No
609,Cap distance,Conference,High,Low,Low,No,0.19886,0.0,0.43857,0.0,No
610,Carbon tax/flight,Conference,High,High,Medium,No,0.18327,0.0,0.43857,0.0,No
611,Cap distance,Conference,High,Medium,Low,No,0.19886,0.0,0.43857,0.0,No
612,Cap distance,Workshop,Medium,Low,High,No,0.19886,0.0,-2.09888,0.0,No
613,Cap distance,Conference,Medium,High,Low,No,0.19886,0.0,0.43857,0.0,No
614,Carbon tax/flight,Meetings,Low,Low,High,Yes,0.18327,0.0,0.43857,0.0,No
615,Cap distance,Conference,Low,High,Medium,No,0.19886,0.0,0.43857,0.0,No
616,As-is,Meetings,Medium,Medium,High,Yes,1.19707,0.0,0.43857,0.0,No
617,Cap distance,Meetings,High,High,Low,No,0.19886,0.0,0.43857,0.0,No
618,Carbon tax/distance,Conference,High,Low,Medium,Yes,-1.5792,0.0,0.43857,0.0,No
619,Carbon tax/distance,Meetings,Medium,High,Low,Yes,-1.5792,0.0,0.43857,0.0,No
620,Carbon tax/flight,Conference,High,Low,Low,Yes,0.18327,0.0,0.43857,0.0,No
621,Carbon tax/distance,Conference,Medium,Medium,Medium,Yes,-1.5792,0.0,0.43857,0.0,No
622,Carbon tax/distance,Workshop,High,High,Low,Yes,-1.5792,0.0,0.43857,0.0,No
623,As-is,Workshop,High,Low,High,Yes,1.19707,0.0,-2.09888,0.0,No
624,Carbon tax/distance,Conference,High,Medium,Low,No,-1.5792,0.0,0.43857,0.0,No
625,As-is,Workshop,High,High,High,No,1.19707,0.0,0.43857,0.0,No
626,Carbon tax/flight,Meetings,High,High,Low,Yes,0.18327,0.0,0.43857,0.0,No
627,Cap distance,Workshop,High,High,Medium,Yes,0.19886,0.0,0.43857,0.0,No
628,As-is,Meetings,Medium,Low,Medium,No,1.19707,0.0,-2.09888,0.0,No
629,As-is,Conference,Low,Medium,High,No,1.19707,0.0,0.43857,0.0,No
630,Carbon tax/distance,Conference,Medium,High,Low,No,-1.5792,0.0,0.43857,0.0,No
631,As-is,Meetings,Low,Low,Low,No,1.19707,0.0,0.43857,0.0,No
632,Carbon tax/flight,Workshop,Medium,Low,High,Yes,0.18327,0.0,-2.09888,0.0,No
633,Carbon tax/flight,Workshop,High,Medium,High,No,0.18327,0.0,-2.09888,0.0,No
634,Cap distance,Meetings,Low,Low,High,No,0.19886,0.0,-2.09888,0.0,No
635,Carbon tax/distance,Conference,Low,Medium,Low,Yes,-1.5792,0.0,0.43857,0.0,No
636,Cap distance,Conference,Medium,Low,Medium,Yes,0.19886,0.0,0.43857,0.0,No
637,Carbon tax/distance,Meetings,Medium,Low,High,No,-1.5792,0.0,-2.09888,0.0,No
638,Cap distance,Conference,Low,Low,Low,Yes,0.19886,0.0,0.43857,0.0,No
639,Cap distance,Conference,High,Medium,Medium,No,0.19886,0.0,0.43857,0.0,No
640,Carbon tax/distance,Workshop,High,Low,High,No,-1.5792,0.0,-2.09888,0.0,No
641,Carbon tax/flight,Conference,High,High,Low,No,0.18327,0.0,0.43857,0.0,No
642,Cap distance,Workshop,Low,Medium,High,No,0.19886,0.0,0.43857,0.0,No
643,Cap distance,Conference,Low,High,Low,No,0.19886,0.0,0.43857,0.0,No
644,Cap distance,Conference,Medium,High,Medium,No,0.19886,0.0,0.43857,0.0,No
645,As-is,Workshop,High,Low,Medium,No,1.19707,0.0,-2.09888,0.0,No
646,Carbon tax/flight,Workshop,Medium,High,High,No,0.18327,0.0,0.43857,0.0,No
647,As-is,Meetings,Low,Medium,High,Yes,1.19707,0.0,0.43857,0.0,No
